UF Code,State,ID,Abbreviation
12,Acre,Q40780,AC
16,Amapá,Q40130,AP
13,Amazonas,Q40040,AM
15,Pará,Q39517,PA
11,Rondônia,Q43235,RO
14,Roraima,Q42508,RR
17,Tocantins,Q43695,TO
27,Alagoas,Q40885,AL
29,Bahia,Q40430,BA
23,Ceará,Q40123,CE
21,Maranhão,Q42362,MA
25,Paraíba,Q38088,PB
26,Pernambuco,Q40942,PE
22,Piauí,Q42722,PI
24,Rio Grande do Norte,Q43255,RN
28,Sergipe,Q43783,SE
52,Goiás,Q41587,GO
51,Mato Grosso,Q42824,MT
50,Mato Grosso do Sul,Q43319,MS
32,Espírito Santo,Q43233,ES
31,Minas Gerais,Q39109,MG
33,Rio de Janeiro,Q41428,RJ
35,São Paulo,Q175,SP
41,Paraná,Q15499,PR
43,Rio Grande do Sul,Q40030,RS
42,Santa Catarina,Q41115,SC
53,Distrito Federal,Q119158,DF
